Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
Parag Parikh Flexi Cap Fund - Direct (G),Flexi Cap Fund,1000,Very High,16.88,17.99,24.09,0.63,89703.46,Growth,Active Fund,INF879O01027,Yes
DSP Multi Asset Allocation Fund - Direct (G),Multi Asset Allocation,100,Very High,16.7,,,0.32,2536.66,Growth,Active Fund,INF740KA1TE9,Yes
Franklin India Opportunities Fund - Direct (G),Sectoral / Thematic,5000,Very High,16.62,26.68,25.8,0.53,5948.48,Growth,Active Fund,INF090I01GC8,Yes
SBI Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,16.59,11.75,15.85,0.75,34678.0,Growth,Active Fund,INF200K01RJ1,Yes
UTI-Healthcare Fund - Direct (G),Sectoral / Thematic,5000,Very High,16.5,19.6,24.3,1.21,1150.43,Growth,Active Fund,INF789F01TO9,Yes
Invesco India Midcap Fund - Direct (G),Mid Cap Fund,1000,Very High,16.36,22.06,23.66,0.58,5645.33,Growth,Active Fund,INF205K01MV6,Yes
ICICI Pru Multi-Asset Fund - Direct (G),Multi Asset Allocation,5000,Very High,16.16,18.48,21.51,0.72,52760.77,Growth,Active Fund,INF109K015K4,Yes
HDFC Focused 30 Fund - Direct (G),Focused Fund,100,Very High,16.16,24.35,23.68,0.63,15687.54,Growth,Active Fund,INF179K01VK7,Yes
ICICI Pru Thematic Advantage Fund (FOF)-Dir (G),FoFs Domestic,5000,Very High,16.04,17.58,23.89,0.47,2265.9,Growth,Active Fund,INF109K01X40,Yes
LIC MF Healthcare Fund - Direct (G),Sectoral / Thematic,5000,Very High,15.95,16.68,20.38,1.22,83.89,Growth,Active Fund,INF397L01LK4,Yes
Mirae Asset Healthcare Fund - Direct (G),Sectoral / Thematic,5000,Very High,15.82,18.56,25.81,0.49,2652.24,Growth,Active Fund,INF769K01ED6,Yes
UTI-Value Fund - Direct (G),Value Fund,5000,Very High,15.77,17.33,19.07,1.12,9605.67,Growth,Active Fund,INF789F01VB2,Yes
Kotak Business Cycle Fund - Direct (G),Sectoral / Thematic,100,Very High,15.69,,,0.6,2573.87,Growth,Active Fund,INF174KA1JN6,Yes
Motilal Oswal Large and Midcap Fund - Dir (G),Large & Mid Cap Fund,500,Very High,15.59,22.0,22.07,0.54,8446.92,Growth,Active Fund,INF247L01999,Yes
Nippon India Multi Asset Allocation Fund-Dir (G),Multi Asset Allocation,5000,Very High,15.57,16.05,,0.3,5001.93,Growth,Active Fund,INF204KB19V4,Yes
Kotak Pioneer Fund - Direct (G),Sectoral / Thematic,100,Very High,15.39,18.19,22.98,0.51,2666.01,Growth,Active Fund,INF174KA1EZ1,Yes
SBI Multicap Fund - Direct (G),Multi Cap Fund,5000,Very High,15.3,,,0.87,18769.04,Growth,Active Fund,INF200KA18E2,Yes
DSP Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,100,Very High,15.23,14.26,14.87,0.71,10137.49,Growth,Active Fund,INF740K01NY4,Yes
Franklin India Multi-Asset Solution Fund of Funds-Dir (G),FoFs Domestic,5000,Moderately High,15.11,12.09,8.99,0.5,61.72,Growth,Active Fund,INF090I01LH7,Yes
WhiteOak Capital ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,15.05,,,0.7,312.12,Growth,Active Fund,INF03VN01621,Yes
DSP Top 100 Equity Fund - Direct (G),Large Cap Fund,100,Very High,14.96,16.83,14.46,1.1,4599.52,Growth,Active Fund,INF740K01PR3,Yes
Tata Digital India Fund - Direct (G),Sectoral / Thematic,5000,Very High,14.9,13.15,27.32,0.4,12464.64,Growth,Active Fund,INF277K01Z77,Yes
ICICI Pru India Opportunities Fund - Direct (G),Sectoral / Thematic,5000,Very High,14.87,24.25,27.12,0.69,24746.94,Growth,Active Fund,INF109KC1RH9,Yes
Union Innovation & Opportunities Fund - Dir (G),Sectoral / Thematic,1000,Very High,14.85,,,0.76,872.62,Growth,Active Fund,INF582M01JE6,Yes
Bandhan Small Cap Fund - Direct (G),Small Cap Fund,1000,Very High,14.72,25.66,,0.45,9236.21,Growth,Active Fund,INF194KB1AL4,Yes
ICICI Pru Exports and Services Fund - Dir (G),Sectoral / Thematic,5000,Very High,14.68,18.03,20.94,1.67,1385.43,Growth,Active Fund,INF109K01W25,Yes
Invesco India Large & Mid Cap Fund-Dir (G),Large & Mid Cap Fund,1000,Very High,14.67,20.01,18.92,0.66,6249.9,Growth,Active Fund,INF205K01MA0,Yes
Invesco India Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,1000,Very High,14.63,15.63,14.6,0.82,595.95,Growth,Active Fund,INF205K014Q7,Yes
Aditya Birla SL Multi Asset Allocation Fund-Dir (G),Multi Asset Allocation,500,Very High,14.58,,,0.56,3709.54,Growth,Active Fund,INF209KB15R9,Yes
ICICI Pru Technology Fund - Direct (G),Sectoral / Thematic,5000,Very High,14.58,10.76,28.23,0.98,14101.47,Growth,Active Fund,INF109K01Z48,Yes
HDFC Flexi Cap Fund - Direct (G),Flexi Cap Fund,100,Very High,14.48,22.86,22.87,0.79,65966.82,Growth,Active Fund,INF179K01UT0,Yes
ICICI Pru Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,14.48,20.25,23.99,0.59,10064.52,Growth,Active Fund,INF109K018N2,Yes
LIC MF ELSS Tax Saver - Direct (G),ELSS,500,Very High,14.47,14.96,15.0,0.96,1093.48,Growth,Active Fund,INF767K01EM1,Yes
360 ONE FlexiCap Fund - Direct (G),Flexi Cap Fund,1000,Very High,14.47,,,0.69,1357.04,Growth,Active Fund,INF579M01AS1,Yes
Kotak Emerging Equity Fund - Direct (G),Mid Cap Fund,100,Very High,14.44,19.77,22.82,0.44,49091.55,Growth,Active Fund,INF174K01LT0,Yes
AXIS Growth Opportunities Fund - Direct (G),Large & Mid Cap Fund,100,Very High,14.4,14.84,20.19,0.59,13522.21,Growth,Active Fund,INF846K01J46,Yes
Sundaram Consumption Fund - Direct (G),Sectoral / Thematic,100,Very High,14.38,19.18,16.12,1.28,1518.44,Growth,Active Fund,INF903J01NH5,Yes
UTI-Large & Mid Cap Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,14.35,20.11,21.86,1.1,4046.69,Growth,Active Fund,INF789F01UG3,Yes
Tata Nifty India Digital ETF Fund of Fund-Dir (G),FoFs Domestic,5000,Very High,14.3,,,0.07,105.47,Growth,Active Fund,INF277KA1430,Yes
Bandhan Focused Equity Fund - Direct (G),Focused Fund,1000,Very High,14.25,16.04,15.9,0.84,1717.34,Growth,Active Fund,INF194K01W21,Yes
Invesco India Contra Fund - Direct (G),Contra Fund,1000,Very High,14.22,18.68,20.04,0.52,17167.52,Growth,Active Fund,INF205K01LE4,Yes
Motilal Oswal AAP Fund of Fund-Aggressive-Dir (G),FoFs Domestic,500,Very High,14.21,13.28,,0.1,71.06,Growth,Active Fund,INF247L01AL2,Yes
Aditya Birla SL ESG Integration Strategy Fund - Direct (G),Sectoral / Thematic,500,Very High,14.19,11.08,,1.4,629.12,Growth,Active Fund,INF209KB1U76,Yes
Tata India Pharma & Healthcare Fund - Direct (G),Sectoral / Thematic,5000,Very High,14.13,20.48,24.43,0.68,1211.73,Growth,Active Fund,INF277K019A3,Yes
Nippon India Asset Allocator FoF - Direct (G),FoFs Domestic,5000,Very High,14.1,18.06,,0.32,369.58,Growth,Active Fund,INF204KB16Y4,Yes
Edelweiss Emerging Markets Opportunities Equity Offshore Fund-Dir (G),FoFs Overseas,100,Very High,14.06,0.25,3.5,1.46,116.52,Growth,Active Fund,INF843K01IZ3,Yes
Bandhan Multi Asset Allocation Fund - Dir (G),Multi Asset Allocation,1000,High,14.03,,,0.46,1833.99,Growth,Active Fund,INF194KB1HM7,Yes
Edelweiss Mid Cap Fund - Direct (G),Mid Cap Fund,100,Very High,13.93,23.44,26.0,0.38,8268.27,Growth,Active Fund,INF843K01AO4,Yes
ITI Pharma and Healthcare Fund - Dir (G),Sectoral / Thematic,5000,Very High,13.89,19.83,,0.47,216.51,Growth,Active Fund,INF00XX01BO9,Yes
AXIS Multicap Fund - Direct (G),Multi Cap Fund,100,Very High,13.86,20.02,,0.72,6748.6,Growth,Active Fund,INF846K013E0,Yes
LIC MF Multi Cap Fund - Direct (G),Multi Cap Fund,5000,Very High,13.63,,,0.55,1389.63,Growth,Active Fund,INF767K01RK7,Yes
AXIS Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,100,Very High,13.61,13.65,12.47,0.82,2652.06,Growth,Active Fund,INF846K01A29,Yes
Aditya Birla SL Medium Term Plan - Direct (G),Medium Duration Fund,1000,Moderately High,13.6,14.32,12.38,0.86,2048.53,Growth,Active Fund,INF209K01XA9,Yes
ICICI Pru ESG Exclusionary Strategy Fund-Dir (G),Sectoral / Thematic,5000,Very High,13.56,18.76,,1.02,1470.84,Growth,Active Fund,INF109KC1O09,Yes
ICICI Pru Banking & Financial Services - Dir (G),Sectoral / Thematic,5000,Very High,13.5,13.99,12.27,1.02,9045.56,Growth,Active Fund,INF109K013J1,Yes
Bajaj Finserv Flexi Cap Fund - Direct (G),Flexi Cap Fund,500,Very High,13.5,,,0.48,4046.34,Growth,Active Fund,INF0QA701342,Yes
Invesco India Flexi Cap Fund - Direct (G),Flexi Cap Fund,1000,Very High,13.49,19.54,,0.61,2471.9,Growth,Active Fund,INF205KA1494,Yes
SBI Banking & Financial Services Fund - Direct (G),Sectoral / Thematic,5000,Very High,13.49,16.34,13.58,0.73,6556.02,Growth,Active Fund,INF200KA1507,Yes
ICICI Pru Passive Multi-Asset Fund of Funds-Dir (G),FoFs Domestic,1000,Very High,13.43,11.95,,0.22,1109.66,Growth,Active Fund,INF109KC1Y15,Yes
LIC MF Infrastructure Fund - Direct (G),Sectoral / Thematic,5000,Very High,13.43,25.13,23.39,0.56,881.41,Growth,Active Fund,INF767K01GW5,Yes
AXIS Multi Asset Allocation Fund - Direct (G),Multi Asset Allocation,100,Very High,13.31,8.9,12.13,1.04,1316.16,Growth,Active Fund,INF846K01EV4,Yes
UTI-Multi Asset Allocation Fund - Direct (G),Multi Asset Allocation,5000,Very High,13.28,18.31,15.36,0.42,5078.64,Growth,Active Fund,INF789F01VE6,Yes
Sundaram Multi Asset Allocation Fund-Dir (G),Multi Asset Allocation,100,Very High,13.2,,,0.51,2451.53,Growth,Active Fund,INF903JA1LK9,Yes
WhiteOak Capital Large Cap Fund - Direct (G),Large Cap Fund,500,Very High,13.17,,,0.66,698.13,Growth,Active Fund,INF03VN01696,Yes
UTI-Dividend Yield Fund - Direct (G),Dividend Yield Fund,5000,Very High,13.14,17.54,20.09,1.37,3959.48,Growth,Active Fund,INF789F01SW4,Yes
AXIS Value Fund - Direct (G),Value Fund,100,Very High,13.12,21.32,,0.91,784.67,Growth,Active Fund,INF846K010C0,Yes
Quantum Long Term Equity Value Fund - Direct (G),Value Fund,500,Very High,13.05,18.34,18.44,1.1,1150.05,Growth,Active Fund,INF082J01036,Yes
Aditya Birla SL Multi-Index Fund of Fund-Dir (G),FoFs Domestic,100,High,12.94,,,0.29,17.98,Growth,Active Fund,INF209KB15M0,Yes
DSP Value Fund - Direct (G),Value Fund,100,Very High,12.92,16.29,,0.93,899.68,Growth,Active Fund,INF740KA1PP3,Yes
JM Midcap Fund - Direct (G),Mid Cap Fund,1000,Very High,12.92,,,0.39,1320.48,Growth,Active Fund,INF192K01MV6,Yes
Quantum ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,12.83,18.36,18.53,0.89,212.1,Growth,Active Fund,INF082J01069,Yes
UTI-Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,1000,Very High,12.75,16.17,18.17,1.23,5956.36,Growth,Active Fund,INF789F01SK9,Yes
Canara Robeco Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,12.69,16.43,,0.53,2440.7,Growth,Active Fund,INF760K01JQ6,Yes
Motilal Oswal ELSS Tax Saver Fund-Dir (G),ELSS,500,Very High,12.67,20.97,19.22,0.7,3876.23,Growth,Active Fund,INF247L01569,Yes
DSP ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,12.67,18.01,20.03,0.73,15985.06,Growth,Active Fund,INF740K01OK1,Yes
HDFC ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,12.66,22.26,20.87,1.11,15413.45,Growth,Active Fund,INF179K01YS4,Yes
AXIS India Manufacturing Fund - Direct (G),Sectoral / Thematic,500,Very High,12.62,,,0.41,5517.88,Growth,Active Fund,INF846K016S3,Yes
Franklin India Prima Fund - Direct (G),Mid Cap Fund,5000,Very High,12.59,20.6,20.29,0.98,11655.69,Growth,Active Fund,INF090I01FH9,Yes
Mahindra Manulife Aggressive Hybrid Fund-Dir (G),Aggressive Hybrid Fund,1000,Very High,12.57,16.18,18.86,0.5,1523.64,Growth,Active Fund,INF174V01788,Yes
ICICI Pru Transportation and Logistics Fund-Dir (G),Sectoral / Thematic,5000,Very High,12.52,,,0.77,3040.04,Growth,Active Fund,INF109KC12K1,Yes
HDFC Asset Allocator Fund of Funds - Dir (G),FoFs Domestic,100,High,12.51,15.74,,0.06,3460.93,Growth,Active Fund,INF179KC1BA3,Yes
ICICI Pru Large & Mid Cap Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,12.47,21.32,22.9,0.85,18624.12,Growth,Active Fund,INF109K011O5,Yes
AXIS Midcap Fund - Direct (G),Mid Cap Fund,100,Very High,12.45,15.87,19.48,0.53,28380.17,Growth,Active Fund,INF846K01EH3,Yes
Motilal Oswal AAP Fund of Fund-Conservative-Dir(G),FoFs Domestic,500,High,12.44,10.65,,0.06,43.38,Growth,Active Fund,INF247L01AN8,Yes
AXIS Retirement Fund - DP - Direct (G),Retirement Fund,5000,Very High,12.41,12.65,13.61,1.12,340.55,Growth,Active Fund,INF846K01T28,Yes
Kotak Multi Asset Allocator FoF - Dynamic - Direct (G),FoFs Domestic,100,High,12.4,18.24,20.0,0.35,1634.44,Growth,Active Fund,INF174K01LN3,Yes
Aditya Birla SL Asset Allocator FoF-Dir (G),FoFs Domestic,1000,High,12.36,13.87,15.69,0.21,187.38,Growth,Active Fund,INF084M01DM9,Yes
Canara Robeco Emerging Equities - Direct (G),Large & Mid Cap Fund,5000,Very High,12.32,14.48,18.12,0.61,23338.91,Growth,Active Fund,INF760K01EI4,Yes
WhiteOak Capital Multi Cap Fund - Direct (G),Multi Cap Fund,500,Very High,12.27,,,0.47,1480.98,Growth,Active Fund,INF03VN01803,Yes
Quantum Multi Asset Fund of Funds - Direct (G),FoFs Domestic,500,Moderately High,12.26,11.29,10.83,0.1,60.17,Growth,Active Fund,INF082J01168,Yes
Baroda BNP Paribas India Consumption Fund-Dir (G),Sectoral / Thematic,5000,Very High,12.24,17.78,17.92,0.65,1404.66,Growth,Active Fund,INF251K01PT7,Yes
Tata India Consumer Fund - Direct (G),Sectoral / Thematic,5000,Very High,12.23,18.62,18.03,0.73,2267.92,Growth,Active Fund,INF277K013A6,Yes
WhiteOak Capital Balanced Advantage Fund - Dir (G),Dynamic Asset Allocation or Balanced Advantage,500,Very High,12.22,,,0.53,1327.52,Growth,Active Fund,INF03VN01738,Yes
HSBC Global Equity Climate Change FoF - Dir (G),FoFs Overseas,5000,Very High,12.2,5.23,,1.44,66.83,Growth,Active Fund,INF336L01PV0,Yes
HSBC ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,12.16,16.69,16.48,1.1,3977.42,Growth,Active Fund,INF917K01GP0,Yes
ICICI Pru Value Discovery Fund - Direct (G),Value Fund,1000,Very High,12.15,19.39,25.42,1.06,48400.3,Growth,Active Fund,INF109K012K1,Yes
Sundaram Services Fund - Direct (G),Sectoral / Thematic,100,Very High,12.13,17.13,19.22,0.88,3793.22,Growth,Active Fund,INF903JA1FA2,Yes
ICICI Pru Nifty Auto Index Fund - Direct (G),Index Fund,1000,Very High,12.1,,,0.43,135.28,Growth,Passive Fund,INF109KC16J4,Yes
JM ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,12.02,18.13,19.23,1.27,180.14,Growth,Active Fund,INF192K01CE3,Yes
UTI-Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,11.96,8.07,13.95,1.05,25096.33,Growth,Active Fund,INF789F01TC4,Yes
ICICI Pru Nifty Pharma Index Fund-Dir (G),Index Fund,1000,Very High,11.95,,,0.36,86.46,Growth,Passive Fund,INF109KC11M9,Yes
PGIM India Hybrid Equity Fund - Dir (G),Aggressive Hybrid Fund,5000,Very High,11.93,11.91,12.95,0.78,207.15,Growth,Active Fund,INF663L01GX2,Yes
Parag Parikh ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,11.92,18.29,23.12,0.63,4572.13,Growth,Active Fund,INF879O01100,Yes
ICICI Pru India Equity FOF - Direct (G),FoFs Domestic,500,Very High,11.92,18.76,,0.61,152.73,Growth,Active Fund,INF109KC1I49,Yes
LIC MF Midcap Fund - Direct (G),Mid Cap Fund,5000,Very High,11.91,17.48,18.75,1.33,307.11,Growth,Active Fund,INF397L01JK8,Yes
Nippon India Vision Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,11.88,18.9,19.03,1.4,5352.87,Growth,Active Fund,INF204K01F20,Yes
360 ONE Balanced Hybrid Fund - Direct (G),Balanced Hybrid Fund,1000,Very High,11.87,,,0.6,840.3,Growth,Active Fund,INF579M01AY9,Yes
